520,32,8,10,06-07-2019,06-07-2019,06-07-2019
521,33,1,7,13-02-2019,13-02-2019,13-02-2019
522,33,2,9,22-02-2019,22-02-2019,22-02-2019
523,33,3,7,20-02-2019,20-02-2019,20-02-2019
524,33,4,8,16-02-2019,16-02-2019,16-02-2019
525,33,5,8,10-07-2019,10-07-2019,10-07-2019
526,33,6,5,07-07-2019,07-07-2019,07-07-2019
527,33,7,10,01-07-2019,01-07-2019,01-07-2019
528,33,8,5,01-07-2019,01-07-2019,01-07-2019
529,34,1,6,14-02-2018,14-02-2018,14-02-2018
530,34,2,6,13-02-2018,13-02-2018,13-02-2018
531,34,3,5,20-02-2018,20-02-2018,20-02-2018
532,34,4,4,14-02-2018,14-02-2018,14-02-2018
533,34,5,9,05-07-2018,05-07-2018,05-07-2018
534,34,6,10,07-07-2018,07-07-2018,07-07-2018
535,34,7,5,12-07-2018,12-07-2018,12-07-2018
536,34,8,6,10-07-2018,10-07-2018,10-07-2018
537,34,9,6,21-02-2019,21-02-2019,21-02-2019
538,34,10,7,21-02-2019,21-02-2019,21-02-2019
539,34,11,8,17-02-2019,17-02-2019,17-02-2019
540,34,12,5,19-02-2019,19-02-2019,19-02-2019
541,34,13,10,08-07-2019,08-07-2019,08-07-2019
542,34,14,5,12-07-2019,12-07-2019,12-07-2019
543,34,15,7,04-07-2019,04-07-2019,04-07-2019
544,34,16,10,12-07-2019,12-07-2019,12-07-2019
545,35,1,9,16-02-2019,16-02-2019,16-02-2019
546,35,2,8,23-02-2019,23-02-2019,23-02-2019
547,35,3,9,18-02-2019,18-02-2019,18-02-2019
548,35,4,8,10-02-2019,10-02-2019,10-02-2019
549,35,5,7,05-07-2019,05-07-2019,05-07-2019
550,35,6,8,09-07-2019,09-07-2019,09-07-2019
551,35,7,5,10-07-2019,10-07-2019,10-07-2019
552,35,8,7,12-07-2019,12-07-2019,12-07-2019
553,36,1,6,23-02-2018,23-02-2018,23-02-2018
554,36,2,8,20-02-2018,20-02-2018,20-02-2018
555,36,3,9,18-02-2018,18-02-2018,18-02-2018
556,36,4,10,15-02-2018,15-02-2018,15-02-2018
557,36,5,5,04-07-2018,04-07-2018,04-07-2018
558,36,6,4,07-07-2018,07-07-2018,07-07-2018
559,36,7,5,09-07-2018,09-07-2018,09-07-2018
560,36,8,10,01-07-2018,01-07-2018,01-07-2018
561,36,9,7,17-02-2019,17-02-2019,17-02-2019
562,36,10,7,16-02-2019,16-02-2019,16-02-2019
563,36,11,9,23-02-2019,23-02-2019,23-02-2019
564,36,12,5,23-02-2019,23-02-2019,23-02-2019
565,36,13,7,11-07-2019,11-07-2019,11-07-2019
566,36,14,5,01-07-2019,01-07-2019,01-07-2019
567,36,15,8,12-07-2019,12-07-2019,12-07-2019
568,36,16,8,10-07-2019,10-07-2019,10-07-2019
569,37,1,8,13-02-2019,13-02-2019,13-02-2019
570,37,2,10,21-02-2019,21-02-2019,21-02-2019
571,37,3,6,12-02-2019,12-02-2019,12-02-2019
572,37,4,9,23-02-2019,23-02-2019,23-02-2019
573,37,5,7,12-07-2019,12-07-2019,12-07-2019
574,37,6,5,09-07-2019,09-07-2019,09-07-2019
575,37,7,4,30-06-2019,30-06-2019,30-06-2019
